#,TITLE,ARTIST,RELEASE,BPM,ENERGY,DANCE,LOUD,VALENCE,LENGTH,ACOUSTIC,POP.,RND
38,Old School,Arin Ray,3/9/2018,78,62,62,-7,39,3:08,2,43,308
39,Crew (feat. Brent Faiyaz & Shy Glizzy),GoldLink,12/16/2016,130,60,73,-8,42,2:57,12,43,6494
40,Foggy Windows,Zacari,7/23/2015,114,39,84,-9,35,4:13,23,46,8828
41,Unique - Louis Futon Remix,GoldLink,6/10/2016,115,80,64,-5,46,4:15,0,32,9779
42,I. The Worst Guys,Childish Gambino,1/1/2013,97,68,61,-6,40,3:40,5,22,2410
43,Sober,Childish Gambino,10/3/2014,98,60,70,-6,43,4:12,10,33,8837
44,Pop Thieves (Make It Feel Good),Childish Gambino,10/3/2014,105,87,54,-8,6,5:09,7,18,5705
45,Retro [ROUGH],Childish Gambino,10/3/2014,110,64,87,-6,30,3:23,23,21,8532
46,Dang! (feat. Anderson .Paak),Mac Miller,9/16/2016,107,67,84,-7,56,5:05,1,72,3742
47,We (feat. CeeLo Green),Mac Miller,9/16/2016,139,64,64,-9,60,5:19,79,58,313
48,III. Urn,Childish Gambino,1/1/2013,139,44,60,-12,50,1:13,64,13,4113
49,Ooh Nah Nah (feat. Masego),SiR,1/23/2017,117,27,85,-12,57,4:00,5,59,1791
50,LOVE. FEAT. ZACARI.,Kendrick Lamar,12/8/2017,126,59,80,-7,78,3:33,26,48,645
51,Got Friends,GoldLink,6/13/2018,144,75,69,-4,35,3:47,10,64,4929
52,Lyk Dis,NxWorries,10/21/2016,85,49,70,-6,58,2:31,3,54,3231
53,Suede,NxWorries,10/21/2016,117,74,67,-7,72,2:55,46,61,210
54,Dollar Bills,Syd,2/3/2017,72,80,66,-7,77,3:08,9,50,5655
55,Indica Badu,Logic,3/9/2018,77,72,72,-3,97,4:20,4,65,4798
56,Young Dumb & Broke,Khalid,4/27/2017,137,54,80,-6,39,3:23,20,83,3426
57,Lyk Dis,NxWorries,10/21/2016,85,50,70,-6,60,2:31,2,0,4531
58,Nights,Frank Ocean,8/20/2016,90,55,47,-9,42,5:07,42,76,4783
59,Put Me Thru,Anderson .Paak,1/15/2016,108,79,73,-4,61,2:41,5,56,3016
60,Am I Wrong,Anderson .Paak,1/15/2016,115,80,73,-7,53,4:14,6,61,3387
61,Luh You,Anderson .Paak,10/28/2014,117,72,70,-6,66,3:31,10,50,6502
62,Feels Like Summer,Childish Gambino,7/11/2018,166,60,55,-8,26,4:57,16,74,4252
63,1999 WILDFIRE,BROCKHAMPTON,7/7/2018,128,57,81,-8,81,4:11,25,69,8273
64,BLEACH,BROCKHAMPTON,12/15/2017,156,66,60,-6,72,4:33,46,71,718
65,SWAMP,BROCKHAMPTON,8/25/2017,141,66,69,-6,40,4:12,2,56,4966
66,Location,Khalid,4/27/2017,80,45,74,-11,33,3:39,33,82,7905
67,Controlla,Drake,5/13/2016,93,48,75,-11,32,4:05,10,65,3193
68,Kill (feat. Ty Dolla $ign and Victoria Monet),Lupe Fiasco,2/10/2017,75,65,64,-7,34,7:10,8,50,3775
69,Vice,Jay Prince,6/2/2017,133,78,66,-6,73,3:22,58,40,983
70,GOLD,BROCKHAMPTON,6/9/2017,110,65,81,-7,29,4:26,7,68,9963
71,What's the Use?,Mac Miller,7/23/2018,105,49,76,-10,56,4:49,74,48,4403
72,The Need to Know (feat. SZA),Wale,3/31/2015,94,41,54,-14,21,3:37,49,59,3530
73,LOYALTY. FEAT. RIHANNA.,Kendrick Lamar,4/14/2017,111,54,66,-9,42,3:47,3,73,8794
74,LOVE. FEAT. ZACARI.,Kendrick Lamar,4/14/2017,126,59,80,-7,78,3:33,26,78,3411
75,untitled 08 | 09.06.2014.,Kendrick Lamar,3/4/2016,120,53,84,-10,67,3:56,24,56,3986
76,These Walls,Kendrick Lamar,3/16/2015,108,49,75,-5,37,5:01,11,61,4208
77,The Recipe (Black Hippy Remix) - Bonus Track,Kendrick Lamar,2012,131,76,72,-7,63,4:23,0,52,760
78,"Bitch, Don’t Kill My Vibe - Remix",Kendrick Lamar,2012,134,79,63,-6,12,4:39,5,59,701
79,Come Over,The Internet,7/20/2018,92,60,53,-8,69,5:22,10,59,1688
80,Look What U Started,The Internet,7/20/2018,94,44,82,-6,53,4:31,32,51,6941
81,Jet Fuel,Mac Miller,8/3/2018,120,56,79,-10,28,5:45,54,67,1889
82,Rough Soul,GoldLink,1/13/2017,117,53,80,-18,42,3:01,3,57,9399
83,Kevin’s Heart,J. Cole,4/20/2018,116,53,83,-7,47,3:20,48,74,6320
84,Neighbors,J. Cole,12/9/2016,139,28,89,-13,41,3:37,36,73,2974
85,Seven,Yeek,4/28/2017,110,51,81,-7,36,3:37,9,47,239
86,B.E.D. - Remix,Jacquees,9/1/2017,122,49,71,-9,41,4:28,0,51,9463
87,Backseat,Ari Lennox,10/21/2016,139,71,72,-6,65,3:39,4,55,5100
88,Lavish Lullaby,Masego,9/7/2018,147,66,84,-6,82,3:17,25,59,1846
89,waves (feat. Travis Scott) - Remix,Miguel,2/26/2016,115,84,63,-3,37,3:21,1,47,8156
90,The Ways (with Swae Lee),Khalid,2/9/2018,140,72,73,-6,59,3:59,6,69,87
91,ROS,Mac Miller,9/18/2015,121,45,54,-9,28,5:43,60,62,2793
92,Baptized In Fire,Kid Cudi,12/16/2016,152,60,67,-8,76,4:46,60,61,8475
93,Mojo So Dope,Kid Cudi,1/1/2010,180,79,61,-8,85,3:31,55,60,4067
94,OTW,Khalid,4/20/2018,73,68,65,-6,28,4:23,18,80,5209
95,Potato Salad,"Tyler, The Creator",9/28/2018,168,61,54,-6,68,3:02,31,73,2922
96,4 Seasons,Samurai Del,2/26/2017,138,74,69,-6,55,3:33,5,29,9386
97,Caroline,Jaja Bu,10/11/2017,148,67,67,-8,33,3:51,12,16,5947
98,Doomsday,MF DOOM,9/2/2003,95,82,85,-8,85,4:58,11,58,5819
99,Know Myself,Justine Skye,2/14/2018,100,50,78,-7,54,2:47,47,67,4547
100,Honey,Tim Wes,6/29/2018,100,46,81,-13,38,2:56,75,34,5847
101,Coming Home,ZHU,9/7/2018,90,66,76,-8,60,3:33,14,45,1725
102,High (feat. Elton John),Young Thug,9/24/2018,127,50,76,-11,24,3:15,22,69,5037
103,Childs Play (feat. Chance the Rapper),SZA,4/8/2014,100,34,76,-9,22,3:36,78,63,575
104,Hosanna (feat. Dave B),Dan Caplen,10/5/2018,157,80,67,-2,80,3:50,12,41,8801
105,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,10/18/2018,90,50,75,-6,93,2:38,55,37,3999
106,Sojourner (feat. J. Cole),Rapsody,10/26/2018,81,62,77,-9,47,5:43,0,59,1494
107,PDA,Bas,8/24/2018,115,54,87,-8,38,2:59,22,47,622
108,Redbone,Childish Gambino,12/2/2016,160,36,75,-10,61,5:27,17,41,5292
109,Special Affair,The Internet,6/26/2015,120,41,80,-10,52,2:56,18,62,4276
110,Good Company (feat. Swae Lee & Quavo),Tone Stith,12/7/2018,139,57,77,-3,67,4:10,14,3,5253
111,Therapy,LeRoyce,9/26/2017,152,64,65,-10,58,3:39,3,50,3379
112,Where Ideas Sing (feat. Daoud),Saba,9/29/2017,115,62,84,-10,44,3:39,17,50,5351
113,Jackie Chan,Preme,5/4/2018,140,64,75,-5,41,3:43,54,62,5297
114,whoa (mind in awe),XXXTENTACION,12/7/2018,160,53,74,-3,37,2:38,65,77,1365
115,CHANCES,KAYTRANADA,11/30/2018,106,53,84,-7,61,3:38,20,65,2473
116,Monday,EARTHGANG,2/25/2015,82,50,65,-13,85,5:17,51,38,359
117,Suncity (feat. Empress Of),Khalid,10/19/2018,90,63,69,-7,34,3:09,10,76,6373
118,Eastside (with Halsey & Khalid),benny blanco,12/7/2018,90,69,63,-8,33,2:51,55,80,8807
119,8TEEN,Khalid,4/27/2017,105,59,83,-6,64,3:49,23,78,9665
120,Barefoot In The Park (feat. ROSALÍA),James Blake,1/18/2019,162,63,56,-8,52,3:31,83,66,8325
121,Tell Them (feat. Moses Sumney & Metro Boomin),James Blake,1/18/2019,176,47,58,-9,29,3:28,78,57,6485
122,Free Lunch,Isaiah Rashad,8/4/2016,130,47,88,-7,85,3:17,23,39,1122
123,Find a Topic (homies begged),Isaiah Rashad,9/2/2016,131,57,91,-5,55,2:47,0,49,8982
124,SOHO,Jaden,11/17/2018,160,60,55,-8,37,3:28,34,69,8940
125,Midas Touch,Zacari,3/1/2019,147,68,57,-7,31,3:03,1,50,7305
126,Bass Song,Eryn Allen Kane,11/17/2015,92,53,56,-6,32,3:47,58,39,5553
127,CALLIGRAPHY,Saba,4/5/2018,74,53,64,-10,30,3:04,73,59,2953
128,Gabby,The Internet,6/26/2015,157,78,50,-5,66,3:32,1,48,6952
129,Can I Kick It,Logic,3/26/2019,100,77,79,-4,49,3:22,61,65,9407
130,Bohemian Trapsody,Logic,3/26/2019,140,84,73,-7,41,6:45,1,65,4468
131,Rhymes Like Dimes,MF DOOM,4/26/2011,100,75,64,-6,76,4:19,66,55,5856
132,D/vision,JID,3/10/2017,83,73,75,-8,94,4:26,56,56,5410
133,This Life,Denzel Curry,10/14/2016,152,84,72,-7,81,3:27,52,62,2582
134,Nevermind,Dennis Lloyd,6/30/2017,100,69,59,-8,8,2:37,16,81,5223
135,Star Treatment,Arctic Monkeys,5/11/2018,120,77,58,-5,67,5:55,24,60,7554
136,No Other Way,Sinead Harnett,1/1/2014,182,53,63,-9,50,3:20,24,54,6792
137,Halcyon Age,Vansire,11/8/2017,93,48,63,-10,68,3:13,33,34,7925
138,Lauren,Men I Trust,6/13/2016,97,50,76,-9,56,3:38,78,60,9734
139,Tourist,Quinn XCII,9/15/2017,104,42,82,-9,56,3:09,40,54,1538
140,Again (feat. Ghostly Kisses),Men I Trust,6/30/2015,110,36,82,-12,25,3:49,65,50,8448
141,Curious Fish (feat. Emmanuelle),Men I Trust,6/30/2015,144,43,88,-10,45,2:48,31,41,6838
142,Quiet (feat. Odile),Men I Trust,6/30/2015,116,43,78,-11,77,3:24,36,43,3142
143,Balloon,BLV,4/27/2018,110,47,90,-6,61,3:44,16,15,2
144,Glory Box,Portishead,1/1/1994,120,41,48,-10,23,5:06,23,66,8634
145,Way To Go - Cornelius Mix,Empire of the Sun,11/10/2017,123,66,65,-6,78,3:18,5,25,5124
146,Dynamite,Louis Mattrs,7/27/2018,85,52,69,-7,52,3:52,31,39,644
147,Bedroom,Litany,6/7/2017,185,45,69,-8,62,3:07,4,59,2345
148,Seven,Men I Trust,9/6/2018,97,42,69,-11,83,3:45,67,59,9220
149,gray,slenderbodies,6/12/2016,95,58,80,-5,42,3:03,43,56,1062
150,Jazzy Kisses,Fantasy Guys,6/23/2016,112,24,95,-12,52,3:36,8,37,7880
151,my boy,Billie Eilish,12/22/2017,90,39,69,-9,32,2:51,47,81,1682
152,take you home,slenderbodies,7/20/2018,98,54,78,-6,82,3:50,17,10,731
153,amnesia,slenderbodies,12/1/2017,177,40,60,-10,39,3:28,34,41,5308
154,Old School Turntables,Matt DiMona,9/13/2017,88,39,76,-9,38,4:25,60,45,4623
155,That I Miss You,Vansire,7/17/2018,115,57,78,-9,97,2:20,31,57,4169
156,Too Little,Tora,6/9/2017,126,48,68,-10,28,2:05,57,36,8655
157,Show Me How,Men I Trust,2/28/2018,166,27,79,-12,54,3:35,67,63,1723
158,"Say, Can You Hear",Men I Trust,11/30/2018,158,40,62,-14,49,3:09,78,57,3753
159,Gradient,Choker,1/25/2019,118,74,67,-7,53,3:56,28,31,2149
160,High On Humans,Oh Wonder,7/14/2017,90,92,55,-4,76,3:11,5,47,7921
161,Tailwhip,Men I Trust,8/18/2017,114,66,80,-9,60,3:45,42,60,9628
162,Indigo Puff,Sundara Karma,2014,142,56,59,-5,41,3:52,0,54,6094
163,California Girls,NoMBe,3/15/2015,78,53,71,-7,54,3:37,17,49,5765
164,In Camera,Yumi Zouma,8/21/2018,138,62,73,-8,53,3:24,3,53,1742
165,Bae Caught Me Vapin',Fantasy Guys,6/23/2016,140,48,79,-10,63,3:34,69,46,3597
166,Black Fur,Elder Island,11/11/2016,120,49,76,-8,43,4:52,36,59,8255
167,If You See Her,LANY,10/5/2018,118,68,64,-7,24,3:03,4,65,9141
168,Let Go,The Undercover Dream Lovers,2/7/2018,102,34,81,-9,83,3:00,13,51,851
169,Malibu Sleep,Col3trane,4/6/2018,114,41,88,-10,53,3:09,40,59,1802
170,Bamboo,Elder Island,11/11/2016,115,57,55,-8,30,4:23,40,61,1066
171,Don't Lose,Elder Island,2/8/2019,100,60,73,-7,46,3:50,46,39,1619
172,Playing for You,Joe Hertz,9/23/2016,85,59,53,-8,36,4:19,6,53,1641
173,Kites,Anik Khan,4/21/2017,77,67,70,-7,68,4:19,25,30,3861
174,The Beautiful Game,RAC,6/20/2017,105,64,44,-7,45,4:33,37,43,1129
175,By the Poolside,Feng Suave,10/4/2017,75,50,70,-11,74,3:37,31,0,4223
176,Keep The Faith,Moon Boots,6/27/2017,116,56,82,-7,47,4:18,3,56,3806
