#,TITLE,ARTIST,RELEASE,BPM,ENERGY,DANCE,LOUD,VALENCE,LENGTH,ACOUSTIC,POP.,RND
115,Katy Hill,Area Code 615,2014,137,58,52,-11,77,3:47,15,21,103
116,Poor Ellen Smith,The Country Gentlemen,3/1/1990,134,49,68,-10,85,2:17,67,23,1105
117,Turkey Knob,The Country Gentlemen,3/1/1990,149,59,47,-12,98,2:22,54,22,2630
118,Whoa Mule,Raymond Fairchild,4/19/2005,154,41,44,-22,96,2:55,54,20,9939
119,Lady of Spain,Allen Shelton,1/1/1977,114,74,56,-11,96,1:51,41,18,55
120,Shelton Special,Allen Shelton,1/1/1977,153,67,39,-11,87,2:03,16,18,563
121,White Oak Breakdown,Don Stover,1/1/1972,148,70,46,-9,98,2:20,26,5,4018
122,Rockwood Deer Chase,Don Stover,1/1/1972,137,68,48,-9,97,2:33,62,5,6485
123,Little Rock Getaway,Alan Munde,1/1/1993,121,51,56,-14,96,2:45,75,18,2541
124,Cotton Patch Rag,Alan Munde,10/16/2012,118,65,56,-9,95,3:57,57,19,2392
125,Cowboys And Indians,Bill Emerson,10/30/2011,131,52,51,-15,96,2:24,45,20,2710
126,Sweet Dixie,Bill Emerson,10/30/2011,146,66,41,-14,96,2:19,6,20,3159
127,The Only Way,Tony Trischka,10/19/2010,126,68,48,-12,80,4:17,47,2,1891
128,Assunta,Tony Trischka,1/1/1992,155,9,44,-28,74,3:16,99,19,1024
129,Beaumont Rag,Tony Trischka,1/1/1992,100,28,50,-19,96,2:04,87,20,6365
130,"Beatles Medley (I Feel Fine / Here, There & Everywhere / Eleanor Rigby / I'm A Loser / Baby You Can Drive My Car)",Tony Trischka,1/1/1992,181,17,46,-18,52,5:39,93,20,5059
131,Road To Columbus,Kenny Baker,1993,131,48,51,-12,92,2:40,51,23,117
132,Big Sandy River,Kenny Baker,1993,136,67,56,-13,92,2:29,53,20,1462
133,Streetcar,John Hartford,1972,125,43,38,-17,89,3:56,79,21,9179
134,Gum Tree Canoe,John Hartford,1/1/1984,169,27,61,-15,71,4:06,97,21,8510
135,Miss Ferris,John Hartford,1/1/1987,150,19,82,-18,55,6:59,87,19,2477
136,Crossin' the Cumberlands,Butch Robins,1/1/2010,139,36,66,-11,80,2:46,74,16,4398
137,Dusty Miller,Butch Robins,1/1/2005,136,81,50,-7,96,3:42,51,16,8111
138,Rainbow Bridge,New Grass Revival,1/1/1977,129,57,45,-13,90,3:39,57,19,2940
139,Old Train (feat. Ricky Skaggs),The Seldom Scene,4/19/2005,121,40,54,-14,83,2:19,81,24,6491
140,Old Gray Bonnet,The Seldom Scene,4/19/2005,129,61,43,-13,97,2:33,51,20,255
141,Double Trouble,Byron Berline,1/1/2006,130,53,58,-11,97,2:41,86,16,8769
142,Radio Boogie,Hot Rize,1/1/1981,107,40,68,-15,91,2:42,61,19,3270
143,Spring Break,Pete Wernick,1/1/1993,165,62,25,-11,77,2:52,50,19,1236
144,Shadows In My Room,Hot Rize,1/1/2006,126,42,57,-16,70,2:51,66,20,8763
145,Whitewater,Béla Fleck,1/1/1988,151,70,37,-14,81,3:09,16,32,9104
146,See Rock City,Béla Fleck,1/1/1988,126,48,35,-14,58,4:04,50,24,8741
147,Sunset Road,Béla Fleck and the Flecktones,1990,96,36,68,-13,11,5:01,65,29,3727
148,Bicyclops - Acoustic Version,Béla Fleck and the Flecktones,4/7/1995,120,26,43,-18,73,4:21,99,20,8807
149,Doctor Gradus ad Parnassum from Children's Corner - Instrumental,Claude Debussy,2001,134,27,32,-16,25,2:27,99,21,3606
150,Big Country - Instrumental,Béla Fleck,8/14/1997,114,41,32,-16,31,4:00,94,35,5990
151,The New Democracy,The Nashville Bluegrass Band,1991,142,43,51,-15,82,2:56,47,20,5059
152,Five Speed - Live,The Johnson Mountain Boys,1/1/1988,95,85,58,-9,98,2:33,2,20,9122
153,Highway Paved With Pain,Lonesome River Band,1994,123,53,66,-15,96,2:57,63,23,5702
154,Long Gone,Lonesome River Band,1994,125,54,66,-15,91,2:54,66,33,6021
155,Julie Ann,Doyle Lawson,1/1/2006,110,53,69,-11,79,3:00,63,18,9059
156,Up on the Blue Ridge,"Scott Vestal feat. Wayne Benson,Jeff Autry,Rob Ickes,Mark Schatz",9/16/1998,162,63,40,-14,91,2:38,62,0,242
157,Dancin' In The Boat,Steve Huber,4/1/1995,137,69,47,-10,96,3:38,61,17,1409
158,Native And Fine,Bill Evans,1/1/1995,111,47,59,-13,78,5:29,78,4,1149
159,Shoot The Dog,Alison Brown,1/1/2007,150,66,43,-8,95,3:25,48,19,2330
160,Shake and Howdy,Alison Brown,5/9/2000,118,44,58,-11,97,3:14,98,19,5926
161,Waiting For Guiteau / President Garfield's Hornpipe,Tony Furtado,4/21/1992,125,51,47,-15,96,3:57,90,18,2606
162,St. John's Fire,Tony Furtado,4/21/1992,169,24,40,-19,79,5:15,90,18,3028
163,Ridin' That Midnight Train,Kentucky Thunder,1997,163,67,42,-7,70,2:20,13,22,3659
164,Smith Chapel,David Grier,1/1/1995,140,39,39,-20,95,3:19,41,22,8532
165,Eye Of The Hurricane,David Grier,1/1/1995,112,34,49,-17,82,3:56,86,16,3147
166,Cluck Old Hen,Alison Krauss & Union Station,1/1/1992,125,53,63,-13,96,2:35,69,25,8405
167,Blue Trail of Sorrow,Alison Krauss & Union Station,1/1/1997,186,58,44,-8,84,3:39,22,26,5728
168,1952 Vincent Black Lightning,The Del McCoury Band,10/30/2007,125,54,68,-8,72,4:01,15,42,4841
169,Dry My Tears and Move On,The Del McCoury Band,2003,127,77,64,-6,78,3:20,21,21,5368
170,The Crow,Steve Martin,1/1/2009,132,69,46,-8,86,3:24,48,23,5551
